product,how,yield_btc,run_by,url
BeraPaw Kodiak WBTC/WETH (Berachain),Kodiak WBTC/WETH liquidity tokens staked through BeraPaw on Berachain to earn LBGT (liquid BGT) rewards; only the BTC half is counted,"2.6 in LBGT now, 3.0 over 30 days; pool fees not included (Sep 2026)",BeraPaw (pool on Kodiak),https://defillama.com/yields/pool/47444258-5cc2-4e33-95a7-1bc5df79b83b
Aura (BTC),WBTC inside Balancer pool tokens staked through Aura for boosted BAL and AURA rewards; Aura announced in May 2026 that it is winding down,,Aura Finance,https://aura.finance
Rujira strategies (BTC),Native BTC (as THORChain assets) in Rujira's automated liquidity ranges on its FIN order-book exchange; earns trading fees,,Rujira (THORChain app layer),https://rujira.network
Vesper (WBTC),"WBTC in Vesper's Conservative and Aggressive pools on Ethereum, which lend it on money markets; both pay 0% now",0 (Sep 2026),Vesper,https://vesper.finance/
Corn Kernels pre-deposit,"BTC tokens (WBTC, uniBTC, eBTC, LBTC and others) left in Corn's pre-deposit contract on Ethereum, which earned Kernels, points for the CORN airdrop",,Corn,https://usecorn.com/
Umami (BTC),GM BTC vault.,,Umami Finance,https://umami.finance/
Trevee / Rings earn (BTC),LBTC in Rings' scBTC vault (built on Veda) for Sonic DeFi rewards; Rings is now Trevee; the same vault is also inside the Veda row,,Trevee (formerly Rings),https://rings.money/
Zircuit staking (BTC),WBTC and pumpBTC staked in Zircuit's Liquidity Hub on Ethereum to earn Zircuit points toward ZRC token rewards,,Zircuit,https://app.zircuit.com/liquidity-hub
Echo strategies (aBTC),"aBTC (Echo's bridged BTC on Aptos) in Echo's strategy vaults, which lend it on Aries or add liquidity on Cellana",,Echo Protocol,https://www.echo-protocol.xyz/
Vesu Noon WBTC vault (Starknet),"WBTC in a Vesu V2 vault on Starknet curated by Noon; the vault borrows stablecoins against it on Vesu and parks them in Noon's sUSN; the yield accrues in the share price. Open since 28 January 2026, cap 50 WBTC","share price 1.1235 WBTC per share since 28 Jan 2026 (Vesu API, 24 Sep); 1% management and 10% performance fee",Noon (curator) on Vesu,https://vesu.xyz/btcfi/vaults
