product,slug,category_code,category_name,subcategory,tvl_usd,tvl_btc,source,method,offchain,double_count_note,include_net,justification
Yearn (BTC vaults),yearn-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,9966404,122.77,DefiLlama /protocol/yearn-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Across WBTC pool (bridge liquidity),across,C6,"LP, emissions, farming, DeFi vaults",Bridge LP: relayer fees,9355901,115.25,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: WBTC LP.,1,Single-sided WBTC for bridge fills; relayer fees plus ACX rewards.
Badger DAO (BTC vaults),badger-dao,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,9195466,113.28,DefiLlama /protocol/badger-dao (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Volo vault (xBTC),volo-vault,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,8902334,109.66,DefiLlama /protocol/volo-vault (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
YO Protocol (yoBTC),yo-protocol,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,8830930,108.78,DefiLlama /protocol/yo-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Upshift (BTC vaults),upshift,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults,8300705,102.25,DefiLlama /protocol/upshift (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC vaults (August/Sentora/Hyperbeat).
Avant avBTC,avant-avbtc,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,8274646,101.93,DefiLlama /protocol/avant-avbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Stake DAO (BTC LPs),stake-dao-yield,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,7359792,90.66,DefiLlama /protocol/stake-dao-yield (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
t3tris (WBTC),t3tris-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,6804602,83.82,DefiLlama /protocol/t3tris-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Bancor v3 WBTC pool,bancor-v3,C6,"LP, emissions, farming, DeFi vaults",DEX LP (single-sided WBTC),5342660,65.81,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: WBTC.,1,Single-sided WBTC pool over $1M; pays almost nothing since Bancor v3 wound down.
Chainflip AMM (native BTC),chainflip-amm,C6,"LP, emissions, farming, DeFi vaults",DEX LP (native BTC),5282455,65.07,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: BTC.,1,Native BTC liquidity for cross-chain swaps; was excluded with all DEX LPs until 2026-09-23.
Yield Yak (BTC),yield-yak-aggregator,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,5092432,62.73,DefiLlama /protocol/yield-yak-aggregator (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
"Orca BTC pools (Solana, over $1M)",orca-dex,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),4335450,53.41,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: cbBTC/FBTC; cbBTC/WBTC.,1,BTC-pair DEX pools over $1M on Solana.
"Ekubo BTC pools (Starknet, over $1M)",ekubo,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),4181108,51.51,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,"Pools: WBTC/strkBTC, less Troves x0.689; SolvBTC/strkBTC.",1,BTC-pair DEX pools over $1M on Starknet; the LP held by Troves is counted in the Troves row.
Belt (BTCB),belt-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,3732503,45.98,DefiLlama /protocol/belt-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
IPOR Fusion (other BTC vaults),fusion-by-ipor,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,3651234,44.98,DefiLlama /protocol/fusion-by-ipor (2026-09-20 00:00 UTC point),token-breakdown,0,,1,IPOR Fusion BTC vaults other than the Tesseract/BTCD carry vaults.
UltraYield vaults (cbBTC),ultrayield-vaults,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,3576039,44.05,DefiLlama /protocol/ultrayield-vaults (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Tranchess (BTCB),tranchess-yield,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,3559624,43.85,DefiLlama /protocol/tranchess-yield (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Troves (BTC),troves,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,3046131,37.52,DefiLlama /protocol/troves (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Katana pre-launch (WBTC),katana-pre-launch,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,2735388,33.7,DefiLlama /protocol/katana-pre-launch (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Hydration Omnipool tBTC (Polkadot),hydration-dex,C6,"LP, emissions, farming, DeFi vaults",DEX LP (single-sided tBTC),2416141,29.76,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: tBTC in the Omnipool.,1,"Single-sided tBTC in the Hydration Omnipool, over $1M; HDX rewards on top."
Concrete (BTC vaults),concrete,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults,2397212,29.53,DefiLlama /protocol/concrete (2026-09-20 00:00 UTC point),token-breakdown,0,"yields API also lists Berachain BTC vaults ($38M, APY 0) that are not in the protocol TVL (not counted)",1,WBTC vaults (points/PoL).
Aerodrome Slipstream cbBTC/LBTC (Base),aerodrome-slipstream,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),2175563,26.8,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: cbBTC/LBTC CL1 x0.5.,1,BTC-pair DEX pool over $1M; AERO emissions on top of fees.
YieldFi (yBTC),yieldfi,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,1295531,15.96,DefiLlama /protocol/yieldfi (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Autofarm (BTC),autofarm,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,1160131,14.29,DefiLlama /protocol/autofarm (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Harvest (BTC),harvest-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,1148113,14.14,DefiLlama /protocol/harvest-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Moonwell vaults (cbBTC),moonwell-vaults,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,1125288,13.86,DefiLlama /protocol/moonwell-vaults (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Radpie (BTC),radpie,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,957736,11.8,DefiLlama /protocol/radpie (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Superform (BTC),superform,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,944592,11.64,DefiLlama /protocol/superform (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Hyperbeat Earn (hbBTC),hyperbeat-earn,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vault,867093,10.68,DefiLlama /protocol/hyperbeat-earn (2026-09-20 00:00 UTC point),token-breakdown,0,Same hbBTC balance as the UBTC in Upshift: counted in Upshift.,0,hbBTC UBTC vault; same balance as Upshift UBTC (nested).
OmniYield (WBTC),omniyield,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,801759,9.88,DefiLlama /protocol/omniyield (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
DeltaPrime (BTC),deltaprime,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,732551,9.02,DefiLlama /protocol/deltaprime (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Extra Finance (cbBTC),extra-finance-leverage-farming,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,725340,8.94,DefiLlama /protocol/extra-finance-leverage-farming (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Kine (BTC),kine-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,712739,8.78,DefiLlama /protocol/kine-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Reaper (WBTC),reaper-farm,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,596077,7.34,DefiLlama /protocol/reaper-farm (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
BeraPaw Kodiak WBTC/WETH (Berachain),berapaw,C6,"LP, emissions, farming, DeFi vaults","DEX LP (BTC/ETH), staked for PoL rewards",556061,6.85,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,"Pools: KODI WBTC/WETH, BTC half x0.5.",1,Kodiak WBTC/WETH LP staked in BeraPaw for PoL rewards; only the BTC half is counted.
Aura (BTC),aura,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,529131,6.52,DefiLlama /protocol/aura (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Rujira strategies (BTC),rujira-amm-strategies,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,501012,6.17,DefiLlama /protocol/rujira-amm-strategies (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Vesper (WBTC),vesper,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,397148,4.89,DefiLlama /protocol/vesper (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Corn Kernels pre-deposit,corn-kernels,C6,"LP, emissions, farming, DeFi vaults",L2 points farm,257696,3.17,DefiLlama /protocol/corn-kernels (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,BTC/LST pre-deposits for Corn airdrop points.
Umami (BTC),umami-finance,C6,"LP, emissions, farming, DeFi vaults",DeFi vault,197017,2.43,DefiLlama /protocol/umami-finance (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,GM BTC vault.
Trevee / Rings earn (BTC),trevee-earn,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults,135475,1.67,DefiLlama /protocol/trevee-earn (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,eBTC/LBTC vaults on Sonic.
Zircuit staking (BTC),zircuit-staking,C6,"LP, emissions, farming, DeFi vaults",L2 points farm,107878,1.33,DefiLlama /protocol/zircuit-staking (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,BTC staked for Zircuit points.
Echo strategies (aBTC),echo-strategy,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults,74237,0.91,DefiLlama /protocol/echo-strategy (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,aBTC strategies on Aptos.
"Money-market BTC collateral (Aave, Morpho, Spark, Venus, Compound, JustLend, Kamino, ...)",(62 lending/CDP projects),C0,Context: BTC collateral / ~0% lending (not yield),"Context: BTC collateral, ~0% supply APY",13752041806,169406.02,DefiLlama yields pools (2026-09-20),yields-pools,0,DefiLlama yields pools 09-20: $13.86B less Zest v2 and Accountable (classified C6/C5 here),0,Plain collateral in money markets earns ~0%: context only (plan 0.1).
CDP collateral: f(x) Protocol,fx-protocol,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,104555700,1287.98,DefiLlama /protocol/fx-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Avalon CeDeFi (lfBTC pool),avalon-cedefi,C0,Context: BTC collateral / ~0% lending (not yield),CeDeFi BTC-collateral pool (not a depositor product),104186998,1283.44,DefiLlama /protocol/avalon-cedefi (2026-09-20 00:00 UTC point),token-breakdown,0,static position since 11-2024; 4 institutional Safes; USDT sent to Binance deposit addresses; DefiLlama notes 100% team-deposited,0,"Lending pool for four institutional Safes, not a yield product with outside BTC depositors (top-5 check) => C0 context, out of gross/net."
CDP collateral: River Omni-CDP (satUSD),river-omni-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,101012969,1244.34,DefiLlama /protocol/river-omni-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,"Borrowing venue: bfBTC/uniBTC/UBTC collateral mints satUSD; the BTC holder earns no BTC yield from River (only the LST's own), so it is collateral context; counting it would double count bfBTC/uniBTC."
CDP collateral: crvUSD / LlamaLend,crvusd,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,75517197,930.27,DefiLlama /protocol/crvusd (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Curator BTC vaults: Hyperithm (curated cbBTC vaults),hyperithm,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),62128822,765.34,DefiLlama /protocol/hyperithm (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
CDP collateral: Frankencoin,frankencoin,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,29261180,360.46,DefiLlama /protocol/frankencoin (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Sky (Maker),sky-lending,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,27588803,339.86,DefiLlama /protocol/sky-lending (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Money on Chain,moneyonchain,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,22075772,271.94,DefiLlama /protocol/moneyonchain (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Sovryn Zero,sovryn-zero,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,20277995,249.8,DefiLlama /protocol/sovryn-zero (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Curator BTC vaults: Gauntlet,gauntlet,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),18213410,224.36,DefiLlama /protocol/gauntlet (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Lending venue: Templar,templar-protocol,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,16355051,201.47,DefiLlama /protocol/templar-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
CDP collateral: BIMA CDP,bima-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,10220129,125.9,DefiLlama /protocol/bima-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Curator BTC vaults: Tulipa Capital,tulipa-capital,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),10219894,125.89,DefiLlama /protocol/tulipa-capital (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: 9Summits,9summits,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),10160378,125.16,DefiLlama /protocol/9summits (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
CDP collateral: BTCFi CDP,btcfi-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,7497742,92.36,DefiLlama /protocol/btcfi-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Lending venue: Vesu,vesu,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,6726411,82.86,DefiLlama /protocol/vesu (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
Curator BTC vaults: Yearn curating,yearn-curating,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),6591893,81.2,DefiLlama /protocol/yearn-curating (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Telos Consilium,telos-consilium,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),5772998,71.12,DefiLlama /protocol/telos-consilium (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Lending venue: Echo Lending,echo-lending,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,5672764,69.88,DefiLlama /protocol/echo-lending (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
CDP collateral: Kava Mint,kava-mint,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,5068989,62.44,DefiLlama /protocol/kava-mint (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Bucket,bucket-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,4679952,57.65,DefiLlama /protocol/bucket-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Curator BTC vaults: UltraYield curator,ultrayield-curator,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),4438443,54.68,DefiLlama /protocol/ultrayield-curator (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Lending venue: Chainflip Lending,chainflip-lending,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,4306787,53.05,DefiLlama /protocol/chainflip-lending (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
Curator BTC vaults: Sentora (WBTC vault),sentora-curator,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),3833002,47.22,DefiLlama /protocol/sentora-curator (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Lending venue: Granite,granite,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,3148295,38.78,DefiLlama /protocol/granite (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
CDP collateral: Mezo Borrow,mezo-borrow,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,2952159,36.37,DefiLlama /protocol/mezo-borrow (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Hylo,hylo-protocol,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,2798945,34.48,DefiLlama /protocol/hylo-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Yala,yala,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,2356376,29.03,DefiLlama /protocol/yala (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Threshold thUSD,threshold-thusd,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,2174565,26.79,DefiLlama /protocol/threshold-thusd (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Lista CDP,lista-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,2088303,25.72,DefiLlama /protocol/lista-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Felix CDP,felix-cdp,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,1874856,23.1,DefiLlama /protocol/felix-cdp (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
CDP collateral: Abracadabra,abracadabra-spell,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,1710665,21.07,DefiLlama /protocol/abracadabra-spell (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin/leverage loan: earns ~0% (C0).
Lending venue: Zest v1,zest-v1,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,1452067,17.89,DefiLlama /protocol/zest-v1 (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
Curator BTC vaults: Gami Labs,gami-labs,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),1407333,17.34,DefiLlama /protocol/gami-labs (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Lending venue: Surge Credit,surge-credit,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,1289229,15.88,DefiLlama /protocol/surge-credit (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
Lending venue: Liquidium,liquidium,C0,Context: BTC collateral / ~0% lending (not yield),BTC-collateral lending venue,1266761,15.6,DefiLlama /protocol/liquidium (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC used as collateral in a lending venue (C0).
Curator BTC vaults: Anthias,anthias-labs,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),1127185,13.89,DefiLlama /protocol/anthias-labs (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Block Analitica,block-analitica,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),1124906,13.86,DefiLlama /protocol/block-analitica (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: DAMM,damm-capital,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),919015,11.32,DefiLlama /protocol/damm-capital (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
CDP collateral: Inverse FiRM,inverse-finance-firm,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,736315,9.07,DefiLlama /protocol/inverse-finance-firm (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin loan: earns ~0% (C0).
Curator BTC vaults: Odyssey,odyssey-digital-am,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),700852,8.63,DefiLlama /protocol/odyssey-digital-am (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: K3 Capital,k3-capital,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),658763,8.12,DefiLlama /protocol/k3-capital (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Clearstar,clearstar,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),652660,8.04,DefiLlama /protocol/clearstar (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
CDP collateral: Angle,angle,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,467365,5.76,DefiLlama /protocol/angle (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin loan: earns ~0% (C0).
CDP collateral: Bucket v2,bucket-protocol-v2,C0,Context: BTC collateral / ~0% lending (not yield),BTC collateral for stablecoin debt,459416,5.66,DefiLlama /protocol/bucket-protocol-v2 (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC is collateral for a stablecoin loan: earns ~0% (C0).
Curator BTC vaults: AlphaGrowth,alphagrowth,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),408863,5.04,DefiLlama /protocol/alphagrowth (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Steakhouse,steakhouse-financial,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),255119,3.14,DefiLlama /protocol/steakhouse-financial (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Re7 Labs,re7-labs,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),157013,1.93,DefiLlama /protocol/re7-labs (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
